rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited
110,11,Columbia University,89.6,110,87.8,11,89.6,19,97.3,50,48.0,440,79.8,208,United States,"21,608",4.6,35%,,Columbia University,"Politics & International Studies (incl Development Studies),Economics & Econometrics,Communication & Media Studies,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Mathematics & Statistics,Accounting & Finance,Agriculture & Forestry,Sport Science,Architecture,General Engineering,Chemical Engineering,Psychology,Law,Languages, Literature & Linguistics,Electrical & Electronic Engineering,History, Philosophy & Theology,Sociology,Computer Science,Chemistry,Archaeology,Other Health,Mechanical & Aerospace Engineering,Medicine & Dentistry,Biological Sciences,Physics & Astronomy,Business & Management",False,False
120,12,Imperial College London,89.3,120,81.4,17,88.3,22,97.6,46,70.8,187,97.5,15,United Kingdom,"17,715",11.2,59%,40 : 60,Imperial College London,"Mechanical & Aerospace Engineering,General Engineering,Mathematics & Statistics,Medicine & Dentistry,Chemical Engineering,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Computer Science,Chemistry,Civil Engineering,Other Health,Electrical & Electronic Engineering,Biological Sciences",False,False
130,=13,Johns Hopkins University,88.4,130,80.0,20,90.8,14,97.2,52,93.7,60,74.6,260,United States,"16,552",4.3,28%,52 : 48,Johns Hopkins University,"Sociology,General Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Accounting & Finance,Archaeology,Psychology,Biological Sciences,Art, Performing Arts & Design,Business & Management,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Economics & Econometrics,Chemical Engineering,Education,Languages, Literature & Linguistics,Chemistry,Other Health,Physics & Astronomy,Computer Science,Mathematics & Statistics,Mechanical & Aerospace Engineering,History, Philosophy & Theology",False,False
140,=13,University of Pennsylvania,88.4,140,84.5,15,89.2,20,97.1,53,77.6,138,69.7,326,United States,"21,211",6.4,22%,53 : 47,University of Pennsylvania,"Economics & Econometrics,Archaeology,Medicine & Dentistry,Geography,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Law,Veterinary Science,Sociology,Biological Sciences,Psychology,Civil Engineering,Computer Science,Sport Science,Languages, Literature & Linguistics,Mathematics & Statistics,Communication & Media Studies,Agriculture & Forestry,Other Health,Business & Management,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Chemistry,Electrical & Electronic Engineering,Art, Performing Arts & Design,Chemical Engineering,Education,Architecture,Physics & Astronomy,General Engineering,History, Philosophy & Theology",False,False
150,15,ETH Zurich,88.2,150,81.3,18,92.4,13,90.7,128,62.5,243,97.9,13,Switzerland,"20,428",14.4,41%,32 : 68,ETH Zurich,"Mathematics & Statistics,Mechanical & Aerospace Engineering,Accounting & Finance,Chemical Engineering,Economics & Econometrics,Politics & International Studies (incl Development Studies),General Engineering,Business & Management,Electrical & Electronic Engineering,Physics & Astronomy,Civil Engineering,Agriculture & Forestry,Medicine & Dentistry,Other Health,Sport Science,Geology, Environmental, Earth & Marine Sciences,Computer Science,Biological Sciences,Architecture,Education,Chemistry",False,False
160,=16,Peking University,87.5,160,91.4,4,94.6,9,81.7,258,93.1,63,65.1,381,China,"31,606",10.2,19%,46 : 54,Peking University,"Other Health,Physics & Astronomy,Business & Management,Psychology,Education,Biological Sciences,Medicine & Dentistry,Communication & Media Studies,Art, Performing Arts & Design,General Engineering,Chemistry,Languages, Literature & Linguistics,Mathematics & Statistics,Computer Science,Sociology,Archaeology,Accounting & Finance,Law,Geography,Economics & Econometrics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences",False,False
170,=16,Tsinghua University,87.5,170,88.1,10,95.7,8,86.8,192,100.0,11,50.6,622,China,"38,221",11.5,13%,34 : 66,Tsinghua University Qinghua University Tsing hua University Qing hua University,"Economics & Econometrics,Languages, Literature & Linguistics,Art, Performing Arts & Design,Geography,Education,Other Health,Communication & Media Studies,Sociology,Accounting & Finance,Architecture,Chemistry,Chemical Engineering,History, Philosophy & Theology,Physics & Astronomy,Mechanical & Aerospace Engineering,General Engineering,Business & Management,Medicine & Dentistry,Civil Engineering,Psychology,Electrical & Electronic Engineering,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Sport Science,Computer Science,Archaeology,Politics & International Studies (incl Development Studies),Law,Biological Sciences",False,False
180,=18,University of Toronto,87.2,180,77.6,25,93.0,11,92.6,112,61.2,256,89.1,117,Canada,"75,821",25.5,25%,57 : 43,University of Toronto,"Politics & International Studies (incl Development Studies),Law,Education,Biological Sciences,Electrical & Electronic Engineering,Business & Management,Languages, Literature & Linguistics,General Engineering,Mathematics & Statistics,Accounting & Finance,Civil Engineering,Psychology,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Geography,Economics & Econometrics,Chemistry,Communication & Media Studies,Archaeology,Medicine & Dentistry,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Computer Science,Chemical Engineering,Sport Science,Sociology,Art, Performing Arts & Design,Physics & Astronomy,Other Health,Architecture",False,False
190,=18,UCL,87.2,190,76.8,26,88.9,21,96.9,58,44.7,535,96.7,22,United Kingdom,"35,760",10.6,57%,58 : 42,UCL ucl UCL,"Archaeology,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Education,Psychology,Computer Science,Mathematics & Statistics,Architecture,Chemistry,Medicine & Dentistry,General Engineering,Economics & Econometrics,Law,Geography,Business & Management,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Languages, Literature & Linguistics,Biological Sciences,Communication & Media Studies,Other Health,Electrical & Electronic Engineering,Sociology",False,False
200,20,"University of California, Los Angeles",86.7,200,82.1,16,89.8,18,96.0,66,56.5,301,65.1,380,United States,"42,054",10.0,17%,55 : 45,"University of California, Los Angeles","Chemical Engineering,Psychology,Biological Sciences,Mechanical & Aerospace Engineering,Medicine & Dentistry,General Engineering,Communication & Media Studies,Agriculture & Forestry,Business & Management,Politics & International Studies (incl Development Studies),Accounting & Finance,Art, Performing Arts & Design,History, Philosophy & Theology,Computer Science,Chemistry,Sociology,Languages, Literature & Linguistics,Sport Science,Other Health,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Archaeology,Mathematics & Statistics,Education,Economics & Econometrics,Geography,Architecture,Physics & Astronomy,Electrical & Electronic Engineering,Law,Veterinary Science",False,False
210,21,National University of Singapore,85.2,210,76.3,27,90.6,16,87.3,182,75.4,154,94.4,56,Singapore,"31,819",18.8,25%,50 : 50,National University of Singapore nus,"Other Health,Sport Science,Accounting & Finance,Archaeology,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Physics & Astronomy,History, Philosophy & Theology,Psychology,Law,Agriculture & Forestry,General Engineering,Languages, Literature & Linguistics,Geography,Veterinary Science,Art, Performing Arts & Design,Business & Management,Politics & International Studies (incl Development Studies),Chemical Engineering,Computer Science,Electrical & Electronic Engineering,Economics & Econometrics,Chemistry,Mathematics & Statistics,Architecture,Sociology,Medicine & Dentistry,Biological Sciences,Civil Engineering,Mechanical & Aerospace Engineering",False,False
220,22,Cornell University,85.0,220,78.6,22,85.4,23,97.2,51,38.3,939,75.4,256,United States,"23,600",10.3,25%,50 : 50,Cornell University,"Other Health,Biological Sciences,Psychology,Economics & Econometrics,Mathematics & Statistics,Languages, Literature & Linguistics,Electrical & Electronic Engineering,History, Philosophy & Theology,Sociology,Physics & Astronomy,Computer Science,Chemistry,Archaeology,Veterinary Science,Politics & International Studies (incl Development Studies),General Engineering,Chemical Engineering,Law,Architecture,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Agriculture & Forestry,Business & Management,Communication & Media Studies",False,False
230,23,Duke University,83.5,230,79.2,21,78.6,31,95.6,70,99.0,28,66.6,364,United States,"15,785",4.2,22%,52 : 48,Duke University,"Medicine & Dentistry,Psychology,Other Health,Biological Sciences,Computer Science,Agriculture & Forestry,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Languages, Literature & Linguistics,Communication & Media Studies,Accounting & Finance,General Engineering,Sociology,Business & Management,Civil Engineering,Chemistry,Mechanical & Aerospace Engineering,Physics & Astronomy,Art, Performing Arts & Design,Economics & Econometrics,Electrical & Electronic Engineering,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Law",False,False
240,=24,University of Michigan-Ann Arbor,83.1,240,78.6,23,85.4,24,94.0,93,48.9,419,59.5,467,United States,"44,663",8.1,17%,50 : 50,University of Michigan-Ann Arbor,"Chemistry,Architecture,Agriculture & Forestry,Languages, Literature & Linguistics,Psychology,Sociology,Law,Computer Science,Chemical Engineering,Other Health,Archaeology,Mathematics & Statistics,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Civil Engineering,Electrical & Electronic Engineering,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Physics & Astronomy,Economics & Econometrics,General Engineering,Medicine & Dentistry,Education,Accounting & Finance,Biological Sciences,Sport Science,Business & Management,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences",False,False
250,=24,Northwestern University,83.1,250,74.3,29,82.1,26,97.6,47,81.6,112,65.3,378,United States,"18,735",13.0,19%,50 : 50,Northwestern University,"Computer Science,Geography,Physics & Astronomy,Languages, Literature & Linguistics,Business & Management,Biological Sciences,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Accounting & Finance,Mathematics & Statistics,Civil Engineering,Sociology,Education,General Engineering,History, Philosophy & Theology,Architecture,Economics & Econometrics,Mechanical & Aerospace Engineering,Communication & Media Studies,Medicine & Dentistry,Law,Psychology,Art, Performing Arts & Design,Electrical & Electronic Engineering,Chemistry,Other Health",False,False
260,26,New York University,82.4,260,75.4,28,83.1,25,94.7,82,41.4,692,72.3,288,United States,"45,424",11.0,35%,57 : 43,New York University,"Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Physics & Astronomy,Medicine & Dentistry,Communication & Media Studies,Law,Art, Performing Arts & Design,Business & Management,Chemical Engineering,General Engineering,Computer Science,Accounting & Finance,Mathematics & Statistics,Sociology,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Archaeology,Economics & Econometrics,Biological Sciences,Education,Geology, Environmental, Earth & Marine Sciences,Other Health,Architecture,Psychology,Civil Engineering,Chemistry,History, Philosophy & Theology",False,False
270,27,London School of Economics and Political Science,80.8,270,68.0,34,80.8,27,94.4,85,35.8,1278,92.7,77,United Kingdom,"10,910",12.1,72%,53 : 47,London School of Economics and Political Science,"History, Philosophy & Theology,Mathematics & Statistics,Geography,Psychology,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Economics & Econometrics,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Business & Management,Sociology,Law",False,False
280,28,Carnegie Mellon University,80.6,280,64.7,44,80.0,28,99.0,26,59.0,275,80.8,195,United States,"14,163",13.5,47%,43 : 57,Carnegie Mellon University,"Accounting & Finance,Communication & Media Studies,Languages, Literature & Linguistics,Computer Science,Politics & International Studies (incl Development Studies),Civil Engineering,Business & Management,Economics & Econometrics,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Biological Sciences,Art, Performing Arts & Design,Electrical & Electronic Engineering,Mathematics & Statistics,Chemical Engineering,Chemistry,Physics & Astronomy,Psychology,Architecture",False,False
290,29,University of Washington,79.8,290,68.8,32,78.8,30,99.0,28,46.3,492,61.7,431,United States,"52,059",11.6,17%,54 : 46,University of Washington,"Psychology,History, Philosophy & Theology,Other Health,Chemistry,Languages, Literature & Linguistics,General Engineering,Chemical Engineering,Physics & Astronomy,Agriculture & Forestry,Computer Science,Biological Sciences,Archaeology,Education,Veterinary Science,Politics & International Studies (incl Development Studies),Accounting & Finance,Mechanical & Aerospace Engineering,Communication & Media Studies,Economics & Econometrics,Mathematics & Statistics,Architecture,Medicine & Dentistry,Electrical & Electronic Engineering,Sociology,Art, Performing Arts & Design,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Law,Geography",False,False
300,=30,University of Edinburgh,78.9,300,66.1,42,74.2,36,95.6,71,40.2,775,95.2,41,United Kingdom,"31,630",12.1,44%,61 : 39,University of Edinburgh,"Computer Science,Business & Management,Politics & International Studies (incl Development Studies),Accounting & Finance,Electrical & Electronic Engineering,Mathematics & Statistics,Veterinary Science,Archaeology,Physics & Astronomy,General Engineering,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Architecture,Chemistry,Sport Science,Other Health,Sociology,Geography,Languages, Literature & Linguistics,Art, Performing Arts & Design,Civil Engineering,Education,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Law,Chemical Engineering,Economics & Econometrics,Psychology,Biological Sciences",False,False
310,=30,University of Hong Kong,78.9,310,66.2,41,72.2,41,95.0,78,58.5,282,98.8,7,Hong Kong,"18,037",18.3,43%,54 : 46,University of Hong Kong,"Agriculture & Forestry,Art, Performing Arts & Design,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Physics & Astronomy,Business & Management,Geography,Medicine & Dentistry,Biological Sciences,Other Health,Communication & Media Studies,Mathematics & Statistics,Accounting & Finance,Education,Law,Mechanical & Aerospace Engineering,Architecture,Psychology,Economics & Econometrics,Chemistry,General Engineering,History, Philosophy & Theology,Civil Engineering,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Computer Science,Sociology",False,False
320,32,LMU Munich,78.6,320,68.1,33,77.9,32,90.3,141,100.0,5,69.1,334,Germany,"34,274",33.7,18%,61 : 39,LMU Munich Ludwig-Maximilians-Universität München,"Psychology,Education,Computer Science,Business & Management,Law,Sociology,Medicine & Dentistry,Mathematics & Statistics,History, Philosophy & Theology,Biological Sciences,Geography,Other Health,Archaeology,Physics & Astronomy,Art, Performing Arts & Design,Chemistry,Communication & Media Studies,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Veterinary Science,Politics & International Studies (incl Development Studies)",False,False
330,33,University of Melbourne,77.8,330,67.5,37,73.8,38,88.4,169,74.9,158,94.0,58,Australia,"52,098",26.5,50%,57 : 43,University of Melbourne UniMelb Australia,"Art, Performing Arts & Design,Sociology,Medicine & Dentistry,Agriculture & Forestry,Sport Science,Law,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Languages, Literature & Linguistics,Computer Science,Physics & Astronomy,Electrical & Electronic Engineering,History, Philosophy & Theology,Geography,Chemical Engineering,Politics & International Studies (incl Development Studies),Education,Business & Management,Psychology,Biological Sciences,Archaeology,Mechanical & Aerospace Engineering,Veterinary Science,Communication & Media Studies,Other Health,Mathematics & Statistics,General Engineering,Accounting & Finance,Architecture,Chemistry,Civil Engineering",False,False
340,34,"University of California, San Diego",77.7,340,60.5,56,75.6,34,97.9,41,96.6,45,68.1,342,United States,"36,256",12.2,29%,48 : 52,"University of California, San Diego","Other Health,Computer Science,Chemical Engineering,Physics & Astronomy,Economics & Econometrics,General Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Biological Sciences,Sociology,History, Philosophy & Theology,Education,Mathematics & Statistics,Business & Management,Electrical & Electronic Engineering,Communication & Media Studies,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Chemistry,Accounting & Finance,Civil Engineering,Psychology,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences",False,False
350,=35,King’s College London,76.0,350,57.6,65,71.2,44,96.9,57,43.7,577,95.9,30,United Kingdom,"28,250",12.0,49%,62 : 38,King’s College London,"Accounting & Finance,Geography,Economics & Econometrics,Computer Science,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Languages, Literature & Linguistics,Chemistry,Other Health,Law,Archaeology,Psychology,Electrical & Electronic Engineering,Medicine & Dentistry,Mechanical & Aerospace Engineering,Communication & Media Studies,Education,Mathematics & Statistics,General Engineering,Biological Sciences,Sport Science,Sociology,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Physics & Astronomy,Business & Management",False,False
360,=35,The University of Tokyo,76.0,360,86.9,13,90.3,17,58.2,623,88.1,88,42.0,836,Japan,"25,959",10.6,14%,,The University of Tokyo,"Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Chemical Engineering,Computer Science,Communication & Media Studies,Archaeology,General Engineering,Geography,Business & Management,Civil Engineering,Sport Science,Mechanical & Aerospace Engineering,Other Health,Physics & Astronomy,Biological Sciences,Law,Mathematics & Statistics,Languages, Literature & Linguistics,Veterinary Science,Electrical & Electronic Engineering,Medicine & Dentistry,History, Philosophy & Theology,Education,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Agriculture & Forestry,Sociology,Architecture,Chemistry,Psychology",False,False
370,37,University of British Columbia,75.8,370,61.6,54,74.0,37,89.4,150,47.4,453,94.9,45,Canada,"54,744",18.9,33%,55 : 45,University of British Columbia,"Psychology,Geography,Biological Sciences,General Engineering,Communication & Media Studies,Chemical Engineering,Mathematics & Statistics,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Chemistry,Education,Civil Engineering,Other Health,Medicine & Dentistry,Accounting & Finance,Archaeology,Law,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Agriculture & Forestry,Economics & Econometrics,Politics & International Studies (incl Development Studies),Architecture,Art, Performing Arts & Design,Computer Science,Sport Science,Sociology,Mechanical & Aerospace Engineering,Business & Management,History, Philosophy & Theology",False,False
380,38,Technical University of Munich,75.6,380,64.5,45,74.8,35,85.5,210,100.0,10,76.1,252,Germany,"32,672",38.7,33%,37 : 63,Technical University of Munich,"Chemical Engineering,Chemistry,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Other Health,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Biological Sciences,Electrical & Electronic Engineering,Accounting & Finance,Business & Management,Civil Engineering,Physics & Astronomy,Computer Science,Mathematics & Statistics,Education,Sport Science,Architecture,General Engineering,Agriculture & Forestry,Sociology",False,False
390,39,Karolinska Institute,74.3,390,55.1,82,71.0,47,94.2,87,70.5,192,86.2,148,Sweden,"7,937",9.6,24%,69 : 31,Karolinska Institute,"Education,Psychology,Chemical Engineering,Other Health,Mathematics & Statistics,Medicine & Dentistry,Sociology,Languages, Literature & Linguistics,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Business & Management",False,False
400,=40,École Polytechnique Fédérale de Lausanne,74.1,400,63.8,48,67.0,56,85.5,209,74.9,157,98.3,11,Switzerland,"11,266",12.3,62%,29 : 71,École Polytechnique Fédérale de Lausanne,"Architecture,General Engineering,Chemistry,Computer Science,Electrical & Electronic Engineering,Biological Sciences,Chemical Engineering,Civil Engineering,Mathematics & Statistics,Physics & Astronomy,Economics & Econometrics,Mechanical & Aerospace Engineering",False,False
410,=40,Paris Sciences et Lettres – PSL Research University Paris,74.1,410,69.1,31,71.2,45,80.1,287,78.7,132,80.5,200,France,"20,547",15.1,25%,47 : 53,Paris Sciences et Lettres – PSL Research University Paris,"History, Philosophy & Theology,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Archaeology,Chemistry,Accounting & Finance,Mechanical & Aerospace Engineering,Other Health,Politics & International Studies (incl Development Studies),Chemical Engineering,General Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Law,Civil Engineering,Economics & Econometrics,Sociology,Electrical & Electronic Engineering,Mathematics & Statistics,Business & Management,Geography,Physics & Astronomy,Biological Sciences,Computer Science",False,False
420,=42,Universität Heidelberg,73.6,420,67.9,35,59.9,78,95.5,74,54.2,329,69.6,327,Germany,"19,530",13.9,19%,55 : 45,Universität Heidelberg,"History, Philosophy & Theology,Sport Science,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Law,Education,Mathematics & Statistics,Geography,Politics & International Studies (incl Development Studies),Computer Science,Economics & Econometrics,Other Health,Psychology,Chemistry,Sociology,Archaeology,Art, Performing Arts & Design,Biological Sciences,Languages, Literature & Linguistics,Medicine & Dentistry",False,False
430,=42,KU Leuven,73.6,430,59.1,61,73.2,40,86.2,201,99.2,26,74.2,264,Belgium,"46,327",36.3,16%,51 : 49,KU Leuven,"Electrical & Electronic Engineering,Chemistry,Accounting & Finance,Sport Science,Politics & International Studies (incl Development Studies),Chemical Engineering,Business & Management,Education,General Engineering,Psychology,Economics & Econometrics,Computer Science,Mechanical & Aerospace Engineering,Geography,Art, Performing Arts & Design,Physics & Astronomy,History, Philosophy & Theology,Other Health,Civil Engineering,Biological Sciences,Communication & Media Studies,Archaeology,Mathematics & Statistics,Languages, Literature & Linguistics,Sociology,Agriculture & Forestry,Architecture,Geology, Environmental, Earth & Marine Sciences,Law,Medicine & Dentistry",False,False
